Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Ground speed [km/h];Engine speed [rpm];Engine load [%];Drum speed [rpm];Fan speed [rpm];Rotor / straw walker speed [rpm];Separation losses [%];Sieve losses [%];Chopper [];Diesel tank level [%];No. of partial widths [];Front attachment On/Off [];max. no. of partial widths [];Feed rake speed [rpm];Working position [I/O];Grain tank unloading [I/O];Main drive status [I/O];Concave position [mm];Upper sieve position [mm];Lower sieve position [mm];Grain tank 70 [I/O];Grain tank 100 [I/O];Grain moisture content [%];Throughput [t/h];Radial spreader speed [rpm];Grain in returns [%];Channel position [%];Yield measurement [I/O];Returns auger measurement [%];Moisture measurement [];Type of crop [];Specific crop weight [g/l];Auto Pilot status [];Cruise Pilot status [];Rate of work [ha/h];Yield [t/ha];Quantimeter calibration factor [];Separation sensitivity [%];Sieve sensitivity [%]
Oct 7, 2022, 10:13:04 AM;C7502627;20.1759683;45.3082947;1153.88;0;1200;0;0;0;0;0;0;off;65.82;8;off;8;0;off;off;on;11;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:13:19 AM;C7502627;20.1759748;45.3082829;1153.89;0;1199;0;260;730;300;0;0;off;65.8;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;83.95;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:13:34 AM;C7502627;20.1759599;45.3082869;1153.89;0;1200;0;0;0;0;0;0;off;65.8;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:13:49 AM;C7502627;20.1759477;45.3082893;1153.9;0;1200;0;0;0;0;0;0;off;65.82;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:14:04 AM;C7502627;20.17595;45.3082896;1153.9;0;1199;0;0;0;0;0;0;off;65.8;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:14:19 AM;C7502627;20.1759406;45.3082987;1153.9;0;1199;0;0;0;0;0;0;off;65.84;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:14:34 AM;C7502627;20.1759586;45.3082962;1153.91;0;1199;0;0;0;0;0;0;off;65.89;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:14:49 AM;C7502627;20.1759747;45.3083047;1153.91;0;1200;0;0;0;0;0;0;off;65.89;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;83.95;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:15:04 AM;C7502627;20.1759724;45.3083125;1153.92;0;1198;0;0;0;0;0;0;off;65.84;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:15:19 AM;C7502627;20.1759636;45.3083089;1153.92;0;1199;0;0;0;0;0;0;off;65.8;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
Oct 7, 2022, 10:15:34 AM;C7502627;20.1759547;45.3083101;1153.92;0;1199;0;0;0;0;0;0;off;65.82;8;off;8;0;off;off;off;7;8;5;off;off;0;0;NA;0;84.12;on;0;off;Maize;638;off;0;0;0;0.95;50;50
